Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Lithocarpus_cleistocarpus,Lithocarpus_cleistocarpus,x,,,,NA,,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_cleistocarpus var. cleistocarpus,Lithocarpus_cleistocarpus_var_cleistocarpus,,,#NAME?,,NA,,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_cleistocarpus var. omeiensis,Lithocarpus_cleistocarpus_var_omeiensis,,Lithocarpus_cleistocarpus_var_omeiensis,sister to C. cleistocarpus,Lithocarpus_cleistocarpus,2,variety,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_corneus,Lithocarpus_corneus,,Lithocarpus_corneus,sister to L. areca,Lithocarpus_areca,2,"based on ITS, and although L. areca was not in Paul's CRABS-CLAW dataset, the position generally toward the outside of the phylogeny is consistent with that paper .. there it was sister to pachylepis, which in ours is the next step in the grade",,"EG, pers.comm 2022-12-07",Lithocarpus,Eastern Palearctic and Oriental,,,y,retain
Lithocarpus_dealbatus,Lithocarpus_dealbatus,x,,,,NA,,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_hancei,Lithocarpus_hancei,x,,,,NA,,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_harlandi,Lithocarpus_harlandi,,Lithocarpus_harlandi,sister to iteaphyllus,Lithocarpus_iteaphyllus,2,"Present in genbank with matK, which wasn't informative (short ITS sequence was nonsense), but generally in the hancei/iteaphyllus clade make sense and is consistent with Yang et al and geography.",,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_konishii,Lithocarpus_konishii,,Lithocarpus_konishii,sister to areca+corneus,Lithocarpus_areca|Lithocarpus_corneus,2,"Yang et al. has it sister to corneus without areca sampled, and there are no areca samples on Genbank ...But since konishii is in Taiwan and the other two are both in Indochina, I'm pretty comfortable with making it sister for now.",Yang et al. (https://as-botanicalstudies.springeropen.com/articles/10.1186/s40529-018-0244-8) ,"EG, 2022-12-07: I could try assembling the atpB spacer from my areca sample, but I don't think I will be able to do it before I return.",Lithocarpus,Eastern Palearctic and Oriental,,,y,retain
Lithocarpus_litseifolius var. litseifolius,Lithocarpus_litseifolius,x,,,,NA,,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
Lithocarpus_oblanceolatus,Lithocarpus_oblanceolatus,,Lithocarpus_oblanceolatus,sister to hancei,Lithocarpus_hancei,2,segregated from L. hancei,,,Lithocarpus,Eastern Palearctic and Oriental,,,n,delete
