sample_ID,tip_label,species,dataset,genes,GenBank,herbarium,collection,locality_clean,locality_full,date,long,lat,elevation,note
SRR16661101,Castanopsis_orthacantha,Castanopsis orthacantha,Zhou_reseq,465,SRR16661101,,YNZY5-1,China,"Zhanyi, Yunnan, China",,NA,NA,NA,reseq depth 33.1129
SRR16661073,Chrysolepis_sempervirens,Chrysolepis sempervirens,Zhou_reseq,465,SRR16661073,DUKE,Burge 592,USA,"Black Mountain, San Bernardino, California",,NA,NA,NA,reseq depth 39.6865
SRR16661024,Lithocarpus_corneus ,Lithocarpus corneus ,Zhou_reseq,465,SRR16661024,,HongZhou-JFL2019-03,China,"Jianfengling, Hainan, China",,NA,NA,NA,reseq depth 44.241
SRR16661028,Lithocarpus_uvariifolius ,Lithocarpus uvariifolius ,Zhou_reseq,465,SRR16661028,,YS20190804-12,China,"Huizhou, Guangdong, China",,NA,NA,NA,reseq depth 34.6783
SRR16661026,Lithocarpus_calophyllus ,Lithocarpus calophyllus ,Zhou_reseq,465,SRR16661026,,YS20181201-11,China,"Huizhou, Guangdong, China",,NA,NA,NA,reseq depth 32.8187
SRR16661025,Lithocarpus_longanoides,Lithocarpus longanoides,Zhou_reseq,465,SRR16661025,,YS20181201-12,China,"Huizhou, Guangdong, China",,NA,NA,NA,reseq depth 35.0959
SRR16661023,Lithocarpus_haipinii,Lithocarpus haipinii,Zhou_reseq,465,SRR16661023,,YS20181201-13,China,"Huizhou, Guangdong, China",,NA,NA,NA,reseq depth 35.3768
SRR16661022,Lithocarpus_hancei ,Lithocarpus hancei ,Zhou_reseq,465,SRR16661022,,YS20181201-14,China,"Huizhou, Guangdong, China",,NA,NA,NA,reseq depth 31.7208
SRR16661012,Lithocarpus_amygdalifolius,Lithocarpus amygdalifolius,Zhou_reseq,465,SRR16661012,,YS20181207-4,China,"Wanshan, Guangdong, China",,NA,NA,NA,reseq depth 30.0166
SRR16661105,Lithocarpus_truncatus,Lithocarpus truncatus,Zhou_reseq,465,SRR16661105,,YNWY04,China,"Wayao, Yunnan, China",,NA,NA,NA,reseq depth 33.9878
SRR16661013,Lithocarpus_longipedicellatus,Lithocarpus longipedicellatus,Zhou_reseq,465,SRR16661013,,HongZhou-JFL2019-04,China,"Jianfengling, Hainan, China",,NA,NA,NA,reseq depth 38.1144
SRR16661046,Lithocarpus_tephrocarpus,Lithocarpus tephrocarpus,Zhou_reseq,465,SRR16661046,,HongZhou-JFL2019-05,China,"Jianfengling, Hainan, China",,NA,NA,NA,reseq depth 35.2129
